,Nb_attack,type_attaque,pays_cible
0,57592,smtp,united states
1,39917,unknown,united states
2,19152,telnet,united states
3,15744,unknown,united arab emirates
4,15446,http-alt,united arab emirates
5,6508,telnet,spain
6,5278,telnet,united arab emirates
7,4111,xsan-filesystem,united states
8,2570,ms-wbt-server,united states
9,2474,rfb,united states
10,2313,ms-wbt-server,united arab emirates
11,2091,microsoft-ds,united arab emirates
12,1914,rfb,united arab emirates
13,1783,mysql,singapore
14,1540,microsoft-ds,united states
15,1317,ntp,united states
16,1244,unknown,france
17,1170,ssh,united states
18,1138,http,united states
19,1032,https,united states
20,988,ms-sql-s,norway
21,977,unknown,italy
22,959,unknown,spain
23,927,netis-router,philippines
24,915,telnet,france
25,900,unknown,belgium
26,858,netis-router,france
27,766,unknown,philippines
28,763,rfb,italy
29,733,unknown,norway
30,700,unknown,singapore
31,695,netbios-dgm,united states
32,676,netis-router,united states
33,583,tcpmux,russia
34,563,ms-wbt-server,italy
35,533,unknown,thailand
36,529,iso-tsap,united states
37,489,ntp,united arab emirates
38,450,ssh,united arab emirates
39,428,netbios-ns,hong kong
40,413,unknown,united kingdom
41,371,unknown,saudi arabia
42,357,malware-proxy,united states
43,352,ftp,saudi arabia
44,343,unknown,hong kong
45,330,netbios-dgm,saudi arabia
46,307,db-lsp-disc,italy
47,298,db-lsp-disc,cyprus
48,298,cbt,united arab emirates
49,296,domain,united states
50,281,bitforestsrv,united kingdom
51,281,radmin-port,united states
52,267,db-lsp-disc,france
53,263,netis-router,united arab emirates
54,254,db-lsp-disc,saudi arabia
55,241,telnet,ireland
56,237,unknown,cyprus
57,224,http,united arab emirates
58,219,telnet,singapore
59,203,sentinelsrm,france
60,203,unknown,ireland
61,202,mit-dov,united arab emirates
62,200,microsoft-ds,thailand
63,197,ms-sql-s,turkey
64,197,netbios-ns,united states
65,196,netbios-dgm,germany
66,196,distinct,belgium
67,193,ssdp,united states
68,191,ssh,hong kong
69,191,cwmp,united states
70,189,autodesk-nlm,belgium
71,187,ntp,spain
72,185,ntp,france
73,183,cisco-sccp,portugal
74,163,netbios-ssn,united arab emirates
75,162,netbios-dgm,france
76,161,unknown,germany
77,158,igmpv3lite,united states
78,152,unknown,turkey
79,150,telnet,belgium
80,149,telnet,italy
81,149,unknown,portugal
82,145,nnsp,belgium
83,127,cbserver,russia
84,123,ftp,russia
85,123,epmap,australia
86,122,sentinelsrm,germany
87,119,sip,belgium
88,117,kerberos,united arab emirates
89,117,dn6-nlm-aud,united states
90,116,pptp,canada
91,114,vcom-tunnel,united states
92,113,kerberos,united states
93,113,EtherNet/IP-1,united states
94,111,http,ireland
95,111,ndl-aas,united arab emirates
96,110,snpp,united arab emirates
97,107,ssdp,italy
98,107,ssdp,norway
99,107,paycash-online,philippines
100,106,rtsp,united arab emirates
101,104,unknown,russia
102,103,unknown,roumania
103,103,netbios-dgm,portugal
104,103,http-alt,ireland
105,102,rfb,germany
106,102,sentinelsrm,saudi arabia
107,101,sentinelsrm,hong kong
108,101,microsoft-ds,philippines
109,101,x11,united states
110,100,pdl-datastream,united states
111,100,microsoft-ds,russia
112,99,ctdb,canada
113,99,ddi-udp-2,united states
114,98,sunproxyadmin,united arab emirates
115,98,snpp,united states
116,97,ircu,roumania
117,96,savant,united kingdom
118,96,doom,united states
119,95,http-alt,cyprus
120,95,unify,cyprus
121,94,http,china
122,94,unknown,australia
123,94,rfb,iceland
124,93,gnunet,united arab emirates
125,92,cisco-sccp,poland
126,91,radan-http,belgium
127,91,ntp,roumania
128,91,sip,united states
129,90,rtsp,saudi arabia
130,89,npp,france
131,88,radan-http,united states
132,87,ms-streaming,united states
133,87,trisoap,australia
134,87,coap,united states
135,86,ms-wbt-server,spain
136,83,aero,united states
137,82,ntp,turkey
138,82,memcache,united states
139,82,qsnet-assist,united states
140,81,http-alt,thailand
141,80,http-alt,united states
142,80,sentinelsrm,russia
143,80,ssdp,hong kong
144,77,bfd-control,united states
145,77,telnet,russia
146,75,ddi-udp-1,thailand
147,75,cbt,united states
148,75,ms-wbt-server,austria
149,75,nv-video,united states
150,74,unknown,canada
151,74,ndl-aas,thailand
152,71,netbios-dgm,mexico
153,70,rtip,united states
154,68,listmgr-port,united states
155,64,unknown,mexico
156,63,paycash-online,united arab emirates
157,61,microsoft-ds,france
158,60,wsm-server,united arab emirates
159,53,d-s-n,united states
160,52,unknown,iceland
161,52,microsoft-ds,portugal
162,52,unknown,poland
163,51,distinct32,belgium
164,49,d2k-datamover1,united states
165,43,unknown,china
166,42,unknown,austria
167,39,netbios-dgm,philippines
168,38,ibm-db2,france
169,18,commplex-link,united states
170,2,https,united arab emirates
